b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar,Npl (kN),psi,b/h,L/h,axial_flag,section_family
190.0,190.0,95.0,1.94,0.0,256.4,74.7,663.5,0.0,0.0,2592.0,0.5,97.93814432989691,27206.706344645736,1757.4694459978527,93.06,2.9586622450399744,1.0,0.22172222769113856,8.15174080838437,14.118201085780393,0.21134265254778073,0.0,0.0,0.0,2482.9561298988856,1.0439169539840218,1.0,3.4921052631578946,axial,circular
190.0,190.0,95.0,1.52,0.0,306.1,80.2,663.5,0.0,0.0,2602.0,0.5,125.0,27452.840075958007,1382.641577310121,93.48,2.3251088570257963,1.0,0.192225630275979,7.613562485404326,14.086801047454095,0.2237848617859953,0.0,0.0,0.0,2624.94436090646,0.9912591058126136,1.0,3.4921052631578946,axial,circular
190.0,190.0,95.0,1.13,0.0,185.7,80.2,662.5,0.0,0.0,2295.0,0.5,168.141592920354,27682.385255581525,1031.7887569336401,93.87,1.733375786555058,1.0,0.08630278650171895,3.429081533645193,14.035952677804483,0.22303938972062004,0.0,0.0,0.0,2411.7304696602155,0.9515988742818922,1.0,3.486842105263158,axial,circular
190.0,190.0,95.0,0.86,0.0,210.7,74.7,663.5,0.0,0.0,2451.0,0.5,220.93023255813955,27841.860980977905,787.3120823300233,94.14,1.3217662696306576,1.0,0.07976136716320374,2.958319024975351,14.036317322969515,0.22525102806811695,0.0,0.0,0.0,2245.673671025985,1.0914319527468153,1.0,3.4921052631578946,axial,circular
165.0,165.0,82.5,2.82,0.0,363.3,108.0,577.5,0.0,0.0,2673.0,0.5,58.51063829787234,19945.66513819861,2190.171339703076,79.68,4.260786211852263,1.0,0.36937815727590534,19.427003398166757,14.244497054132506,0.2289736478208238,0.0,0.0,0.0,2949.8210826395775,0.906156653273401,1.0,3.5,axial,circular
190.0,190.0,95.0,1.94,0.0,256.4,108.0,660.0,0.0,0.0,3360.0,0.5,97.93814432989691,27206.706344645736,1757.4694459978527,93.06,2.9586622450399744,1.0,0.15335787415303748,8.15174080838437,14.04372677711388,0.23236648839302307,0.0,0.0,0.0,3388.939451175589,0.9914606172247927,1.0,3.473684210526316,axial,circular
190.0,190.0,95.0,1.52,0.0,306.1,108.0,661.5,0.0,0.0,3260.0,0.5,125.0,27452.840075958007,1382.641577310121,93.48,2.3251088570257963,1.0,0.14274532914938443,7.613562485404326,14.044338949345718,0.24124974773978208,0.0,0.0,0.0,3388.1333150180926,0.9621817375219167,1.0,3.481578947368421,axial,circular
190.0,190.0,95.0,1.13,0.0,185.7,108.0,660.0,0.0,0.0,3058.0,0.5,168.141592920354,27682.385255581525,1031.7887569336401,93.87,1.733375786555058,1.0,0.06408780997627647,3.429081533645193,13.982986818642956,0.2417219631168859,0.0,0.0,0.0,3181.300779765382,0.9612420238445749,1.0,3.473684210526316,axial,circular
190.0,190.0,95.0,0.86,0.0,210.7,108.0,662.0,0.0,0.0,3070.0,0.5,220.93023255813955,27841.860980977905,787.3120823300233,94.14,1.3217662696306576,1.0,0.05516827895454926,2.958319024975351,14.004584879888197,0.24865796527125944,0.0,0.0,0.0,3172.8076416925496,0.9675972661116933,1.0,3.4842105263157896,axial,circular
111.3,111.3,55.65,2.0,0.0,354.6,60.75,339.0,0.0,0.0,855.0,0.5,55.65,9042.516820662207,1046.047845925271,53.65,3.018243935905346,1.0,0.6752345768632448,19.949101578229932,12.406209515589694,0.17389609876553905,0.0,0.0,0.0,920.2614630203302,0.9290837814656068,1.0,3.045822102425876,axial,circular
