Ref.No.,fc (MPa),type (规格备注),试件标号,fy (MPa),fcy150,R再生骨料取代率(%),b (mm),h (mm),t (mm),r0 (mm),L (mm),e1 (mm),e2 (mm),Nexp (kN)
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE2-1,620.6,98.58686857,0,203,203,4,101.5,600,59.9,59.9,3058.3
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE3-1,771.7,98.58686857,0,203,203,4,101.5,600,59.9,59.9,2821.2
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE4-2,771.7,98.58686857,0,203,203,4,101.5,600,59.9,59.9,3132.4
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE3-2,771.7,98.58686857,0,203,203,4,101.5,600,59.9,59.9,2953.5
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE2-2,620.6,98.58686857,0,203,203,4,101.5,600,59.9,59.9,2961.3
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE4-1,771.7,98.58686857,0,203,203,4,101.5,600,59.9,59.9,3214.8
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE1-2,620.6,98.58686857,0,203,203,4,101.5,600,59.9,59.9,2524.2
"Journal of Constructional Steel Research | Performance of spirally reinforced high-strength circular CFST column under eccentric compression | Wei-Jie Li, Wei Li | 2024",108.5,fcu150,CE1-1,620.6,98.58686857,0,203,203,4,101.5,600,59.9,59.9,2137.1
"Journal of Constructional Steel Research | Performance of axially loaded slender circular CFSTs with random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo, Zhiguo Li | 2024",37.8,fcu150,NPd-1050,345,30.88438211,0,140.1,140.1,3.96,70.05,2101.5,0,0,925
"Journal of Constructional Steel Research | Performance of axially loaded slender circular CFSTs with random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo, Zhiguo Li | 2024",37.8,fcu150,Pd-700,345,30.88438211,0,140.4,140.4,4.01,70.2,2101,0,0,810
"Journal of Constructional Steel Research | Performance of axially loaded slender circular CFSTs with random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo, Zhiguo Li | 2024",37.8,fcu150,Pd-1050,345,30.88438211,0,140.4,140.4,3.95,70.2,2101,0,0,794
"Journal of Constructional Steel Research | Performance of axially loaded slender circular CFSTs with random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo, Zhiguo Li | 2024",37.8,fcu150,Intact,345,30.88438211,0,140.1,140.1,3.94,70.05,2099.2,0,0,982
"Journal of Constructional Steel Research | Performance of axially loaded slender circular CFSTs with random local corrosion | Jianwei Li, Chen Jia, Lanhui Guo, Zhiguo Li | 2024",37.8,fcu150,Pd-350,345,30.88438211,0,140.4,140.4,3.97,70.2,2101,0,0,850
"Journal of Constructional Steel Research | Performance of eccentrically loaded slender circular CFSTs subjected to localized pitting corrosion | Jianwei Li, Chen Jia, Haijia Huang... | 2024",37.8,"fcu,150",LC-32.9-2π-5.0,345,30.88,0,139.9,139.9,3.97,69.95,2099.6,25,25,459
"Journal of Constructional Steel Research | Performance of eccentrically loaded slender circular CFSTs subjected to localized pitting corrosion | Jianwei Li, Chen Jia, Haijia Huang... | 2024",37.8,"fcu,150",LC-24.2-2π-2.5,345,30.88,0,139.9,139.9,4.05,69.95,2100.2,25,25,484
"Journal of Constructional Steel Research | Performance of eccentrically loaded slender circular CFSTs subjected to localized pitting corrosion | Jianwei Li, Chen Jia, Haijia Huang... | 2024",37.8,"fcu,150",LC-17.0-2π-2.5,345,30.88,0,140,140,4.02,70,2100.5,25,25,528
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-6-0-A,389,45.78563743,0,87,87,1.8,43.5,270,0,0,424.1
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-9-50-A,389,45.78563743,0,87,87,1.8,43.5,270,0,0,361.8
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-9-0-B,389,45.78563743,0,87,87,1.8,43.5,270,0,0,378.2
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-9-0-A,389,45.78563743,0,87,87,1.8,43.5,270,0,0,388.1
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-6-150-B,389,45.78563743,0,87,87,1.8,43.5,270,0,0,352.2
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-6-150-A,389,45.78563743,0,87,87,1.8,43.5,270,0,0,367.6
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-6-100-B,389,45.78563743,0,87,87,1.8,43.5,270,0,0,386.6
"Journal of Constructional Steel Research | Compression behavior of CFST columns under combined influence of gap and freeze-thaw | Wei Song, Yongping Yu, Yan Liu, Yuhui Feng, Zhengyi He, Weiran Tian | 2024",56.5,fcu100,C-6-100-A,389,45.78563743,0,87,87,1.8,43.5,270,0,0,379.9
