b (mm),h (mm),r0 (mm),t (mm),R (%),fy (MPa),fc (MPa),L (mm),e1 (mm),e2 (mm),Nexp (kN),r0/h,b/t,Ac (mm^2),As (mm^2),Re (mm),te (mm),ke,xi,sigma_re (MPa),lambda,lambda_bar,e/h,e1/e2,e_bar
200.0,100.0,0.0,5.0,0.0,360.0,7.015,2000.0,0.0,0.0,1062.0,0.0,40.0,17100.0,2800.0,73.77736139048902,5.811373585369424,0.33333333333333337,8.403046104212777,9.452287491732273,69.10861017268398,0.632751673320031,0.0,0.0,0.0
200.0,100.0,0.0,5.0,0.0,360.0,7.015,2000.0,0.0,0.0,1022.0,0.0,40.0,17100.0,2800.0,73.77736139048902,5.811373585369424,0.33333333333333337,8.403046104212777,9.452287491732273,69.10861017268398,0.632751673320031,0.0,0.0,0.0
140.0,140.0,0.0,4.0,0.0,366.0,26.93,2100.0,0.0,0.0,1011.0,0.0,35.0,17424.0,2112.0,74.47302502830384,4.38445360553618,0.33333333333333337,1.6473685987239646,7.182511247154542,51.87661971899661,0.5626597412021745,0.0,0.0,0.0
140.0,140.0,0.0,4.0,0.0,366.0,7.015,2100.0,0.0,0.0,716.0,0.0,35.0,17424.0,2112.0,74.47302502830384,4.38445360553618,0.33333333333333337,6.324110671936759,7.182511247154542,51.87661971899661,0.504441480752717,0.0,0.0,0.0
140.0,140.0,0.0,5.0,0.0,362.0,26.93,2100.0,0.0,0.0,1248.0,0.0,28.0,16900.0,2600.0,73.34464586120832,5.440141887340687,0.33333333333333337,2.068039646947928,8.950125534470676,51.82879981049067,0.5530162054373755,0.0,0.0,0.0
140.0,140.0,0.0,5.0,0.0,362.0,7.015,2100.0,0.0,0.0,1005.0,0.0,28.0,16900.0,2600.0,73.34464586120832,5.440141887340687,0.33333333333333337,7.939031745161468,8.950125534470676,51.82879981049067,0.5032734850135413,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,26.93,2250.0,0.0,0.0,691.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,1.3438721199582693,5.870217351642052,86.48699324175861,0.8711114448479034,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,26.93,2250.0,0.0,0.0,638.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,1.3438721199582693,5.870217351642052,86.48699324175861,0.8711114448479034,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,7.015,2250.0,0.0,0.0,503.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,5.159012999355123,5.870217351642052,86.48699324175861,0.7591612894480291,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,7.015,2250.0,0.0,0.0,491.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,5.159012999355123,5.870217351642052,86.48699324175861,0.7591612894480291,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,7.015,2250.0,0.0,0.0,515.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,5.159012999355123,5.870217351642052,86.48699324175861,0.7591612894480291,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,7.015,2250.0,0.0,0.0,492.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,5.159012999355123,5.870217351642052,86.48699324175861,0.7591612894480291,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,26.93,2250.0,0.0,0.0,738.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,1.3438721199582693,5.870217351642052,86.48699324175861,0.8711114448479034,0.0,0.0,0.0
150.0,90.0,0.0,3.0,0.0,320.0,26.93,2250.0,0.0,0.0,625.0,0.0,50.0,12096.0,1368.0,62.050595349916925,3.414848264088768,0.33333333333333337,1.3438721199582693,5.870217351642052,86.48699324175861,0.8711114448479034,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,26.93,2500.0,0.0,0.0,350.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,0.7426661715558857,3.2666399786453053,86.53323061113575,0.8695850936015986,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,26.93,2500.0,0.0,0.0,360.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,0.7426661715558857,3.2666399786453053,86.53323061113575,0.8695850936015986,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,26.93,2500.0,0.0,0.0,396.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,0.7426661715558857,3.2666399786453053,86.53323061113575,0.8695850936015986,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,26.93,2500.0,0.0,0.0,342.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,0.7426661715558857,3.2666399786453053,86.53323061113575,0.8695850936015986,0.0,0.0,0.0
100.0,100.0,0.0,2.0,0.0,240.0,7.015,2500.0,0.0,0.0,261.0,0.0,50.0,9216.0,768.0,54.162200020584606,2.2116050989828153,0.33333333333333337,2.851033499643621,3.2666399786453053,86.53323061113575,0.7114497159369871,0.0,0.0,0.0
